distrito,município,email,url
SANTARÉM,ABRANTES,geral@cm-abrantes.pt,www.cm-abrantes.pt 
AVEIRO,ÁGUEDA,geral@cm-agueda.pt,www.cm-agueda.pt
GUARDA,AGUIAR DA BEIRA,geral@cm-aguiardabeira.pt,www.cm-aguiardabeira.pt
ÉVORA,ALANDROAL,geral@cm-alandroal.pt,www.cm-alandroal.pt 
AVEIRO,ALBERGARIA-A-VELHA,geral@cm-albergaria.pt,www.cm-albergaria.pt 
FARO,ALBUFEIRA,geral@cm-albufeira.pt,www.cm-albufeira.pt 
SETÚBAL,ALCÁCER DO SAL,geral@m-alcacerdosal.pt,www.cm-alcacerdosal.pt 
SANTARÉM,ALCANENA,geral@cm-alcanena.pt,www.cm-alcanena.pt 
LEIRIA,ALCOBAÇA,cmalcobaca@cm-alcobaca.pt,www.cm-alcobaca.pt 
SETÚBAL,ALCOCHETE,geral@cm-alcochete.pt,www.cm-alcochete.pt 
FARO,ALCOUTIM,geral@cm-alcoutim.pt,www.cm-alcoutim.pt 
LISBOA,ALENQUER,geral@cm-alenquer.pt,www.cm-alenquer.pt 
BRAGANÇA,ALFÂNDEGA DA FÉ,gabinete.presidente@cm-alfandegadafe.pt,www.cm-alfandegadafe.pt 
VILA REAL,ALIJÓ,geral@cm-alijo.pt,www.cm-alijo.pt 
FARO,ALJEZUR,geral@cm-aljezur.pt,www.cm-aljezur.pt 
BEJA,ALJUSTREL,geral@mun-aljustrel.pt,www.mun-aljustrel.pt 
SETÚBAL,ALMADA,almadainforma@cma.m-almada.pt,www.m-almada.pt 
GUARDA,ALMEIDA,camara@cm-almeida.pt,www.cm-almeida.pt 
SANTARÉM,ALMEIRIM,geral@cm-almeirim.pt,www.cm-almeirim.pt 
BEJA,ALMODÔVAR,geral@cm-almodovar.pt,www.cm-almodovar.pt 
SANTARÉM,ALPIARÇA,atendimento@cm-alpiarca.pt,www.cm-alpiarca.pt 
PORTALEGRE,ALTER DO CHÃO,geral@cm-alter-chao.pt,www.cm-alter-chao.pt 
LEIRIA,ALVAIÁZERE,geral@cm-alvaiazere.pt,www.cm-alvaiazere.pt 
BEJA,ALVITO,geral@cm-alvito.pt,www.cm-alvito.pt 
LISBOA,AMADORA,geral@cm-amadora.pt,www.cm-amadora.pt 
PORTO,AMARANTE,geral@cm-amarante.pt,www.cm-amarante.pt 
BRAGA,AMARES,geral@municipioamares.pt,www.cm-amares.pt 
AVEIRO,ANADIA,geral@cm-anadia.pt,www.cm-anadia.pt 
AÇORES,ANGRA DO HEROÍSMO,angra@cmah.pt,www.cmah.pt 
LEIRIA,ANSIÃO,geral@cm-ansiao.pt,www.cm-ansiao.pt 
VIANA DO CASTELO,ARCOS DE VALDEVEZ,geral@cmav.pt,www.cmav.pt 
COIMBRA,ARGANIL,geral@cm-arganil.pt,www.cm-arganil.pt 
VISEU,ARMAMAR,geral@cm-armamar.pt,www.cm-armamar.pt 
AVEIRO,AROUCA,geral@cm-arouca.pt,www.cm-arouca.pt 
ÉVORA,ARRAIOLOS,geral@cm-arraiolos.pt,www.cm-arraiolos.pt 
PORTALEGRE,ARRONCHES,geral@cm-arronches.pt,www.cm-arronches.pt 
LISBOA,ARRUDA DOS VINHOS,cm-arruda@cm-arruda.pt,www.cm-arruda.pt 
AVEIRO,AVEIRO,geral@cm-aveiro.pt,www.cm-aveiro.pt 
PORTALEGRE,AVIS,geral@cm-avis.pt,www.cm-avis.pt 
LISBOA,AZAMBUJA,geral@cm-azambuja.pt,www.cm-azambuja.pt 
PORTO,BAIÃO,geral@cm-baiao.pt,www.cm-baiao.pt 
BRAGA,BARCELOS,geral@cm-barcelos.pt,www.cm-barcelos.pt 
BEJA,BARRANCOS,geral@cm-barrancos.pt,www.cm-barrancos.pt 
SETÚBAL,BARREIRO,geral@cm-barreiro.pt,www.cm-barreiro.pt 
LEIRIA,BATALHA,geral@cm-batalha.pt,www.cm-batalha.pt 
BEJA,BEJA,geral@cm-beja.pt,www.cm-beja.pt 
CASTELO BRANCO,BELMONTE,geral@cm-belmonte.pt,www.cm-belmonte.pt 
SANTARÉM,BENAVENTE,gap@cm-benavente.pt,www.cm-benavente.pt 
LEIRIA,BOMBARRAL,geral@cm-bombarral.pt,www.cm-bombarral.pt 
ÉVORA,BORBA,geral@cm-borba.pt,www.cm-borba.pt 
VILA REAL,BOTICAS,municipio@cm-boticas.pt,www.cm-boticas.pt 
BRAGA,BRAGA,municipe@cm-braga.pt,www.cm-braga.pt 
BRAGANÇA,BRAGANÇA,cmb@cm-braganca.pt,www.cm-braganca.pt 
BRAGA,CABECEIRAS DE BASTO,servicoatendimentounico@cabeceirasdebasto.pt,www.cabeceirasdebasto.pt 
LISBOA,CADAVAL,geral@cm-cadaval.pt,www.cm-cadaval.pt 
LEIRIA,CALDAS DA RAINHA,geral@cm-caldas-rainha.pt,www.cm-caldas-rainha.pt 
MADEIRA,CALHETA,camara@cmcalheta.pt,www.cm-calheta-madeira.com
AÇORES,CALHETA (SÃO JORGE),geral@cm-calheta.pt,www.cm-calheta.pt  
MADEIRA,CÂMARA DE LOBOS,geral@cm-camaradelobos.pt,www.cm-camaradelobos.pt 
VIANA DO CASTELO,CAMINHA,geral@cm-caminha.pt,www.cm-caminha.pt 
PORTALEGRE,CAMPO MAIOR,geral@cm-campo-maior.pt,www.cm-campo-maior.pt 
COIMBRA,CANTANHEDE,geral@cm-cantanhede.pt,www.cm-cantanhede.pt 
BRAGANÇA,CARRAZEDA DE ANSIÃES,geral@cmca.pt,www.cm-carrazedadeansiaes.pt 
VISEU,CARREGAL DO SAL,geral@cm-carregal.pt,www.carregal-digital.pt
SANTARÉM,CARTAXO,correio@cm-cartaxo.pt,www.cm-cartaxo.pt 
LISBOA,CASCAIS,atendimento.municipal@cm-cascais.pt,www.cm-cascais.pt 
LEIRIA,CASTANHEIRA DE PÊRA,camara@cm-castanheiradepera.pt,www.cm-castanheiradepera.pt 
CASTELO BRANCO,CASTELO BRANCO,camara@cm-castelobranco.pt,www.cm-castelobranco.pt 
AVEIRO,CASTELO DE PAIVA,geral@cm-castelo-paiva.pt,www.cm-castelo-paiva.pt 
PORTALEGRE,CASTELO DE VIDE,cm.castvide@mail.telepac.pt,www.cm-castelo-vide.pt 
VISEU,CASTRO DAIRE,geral@cm-castrodaire.pt,www.cm-castrodaire.pt 
FARO,CASTRO MARIM,expediente@cm-castromarim.pt,www.cm-castromarim.pt 
BEJA,CASTRO VERDE,geral@cm-castroverde.pt,www.cm-castroverde.pt 
GUARDA,CELORICO DA BEIRA,geral@cm-celoricodabeira.pt,www.cm-celoricodabeira.pt 
BRAGA,CELORICO DE BASTO,geral@mun-celoricodebasto.pt,www.mun-celoricodebasto.pt 
SANTARÉM,CHAMUSCA,geral@cm-chamusca.pt,www.cm-chamusca.pt 
VILA REAL,CHAVES,municipio@chaves.pt,www.chaves.pt 
VISEU,CINFÃES,geral@cm-cinfaes.pt,www.cm-cinfaes.pt  
COIMBRA,COIMBRA,geral@cm-coimbra.pt,www.cm-coimbra.pt 
COIMBRA,CONDEIXA-A-NOVA,geral@cm-condeixa.pt,www.cm-condeixa.pt 
SANTARÉM,CONSTÂNCIA,geral@cm-constancia.pt,www.cm-constancia.pt 
SANTARÉM,CORUCHE,geral@cm-coruche.pt,www.cm-coruche.pt 
AÇORES,CORVO,geral@cm-corvo.pt,www.cm-corvo.pt 
CASTELO BRANCO,COVILHÃ,info@cm-covilha.pt,www.cm-covilha.pt 
PORTALEGRE,CRATO,geral@cm-crato.pt,www.cm-crato.pt 
BEJA,CUBA,geral@cm-cuba.pt,www.cm-cuba.pt 
PORTALEGRE,ELVAS,geral@cm-elvas.pt,www.cm-elvas.pt 
SANTARÉM,ENTRONCAMENTO,geral@cm-entroncamento.pt,www.cm-entroncamento.pt 
AVEIRO,ESPINHO,geral@cm-espinho.pt,www.cm-espinho.pt 
BRAGA,ESPOSENDE,fatima.sousa@cm-esposende.pt;ligia.tarrio@cm-esposende.pt,www.cm-esposende.pt  
