code_ies,name_ies,initials,county,state,academic_organization,category,url
2613,Centro Universitário Estácio Meta de Rio Branco Estácio (UNIMETA),UNIMETA,Rio Branco,AC,Centro Universitário,Privada,www.fameta.edu.br
2132,CENTRO UNIVERSITÁRIO UNINORTE,-,Rio Branco,AC,Centro Universitário,Privada,www.uninorteac.com.br
2343,Centro Universitário U:VERSE,-,Rio Branco,AC,Centro Universitário,Privada,www.uverse.com.vc
2072,FACULDADE DE DESENVOLVIMENTO SUSTENTÁVEL DE CRUZEIRO DO SUL (IEVAL),IEVAL,Cruzeiro do Sul,AC,Faculdade,Privada,http://reges.com.br/ieval/
4836,FACULDADE DE EDUCAÇÃO ACRIANA EUCLIDES DA CUNHA (INEC),INEC,Rio Branco,AC,Faculdade,Privada,www.euclidesdacunha.edu.br
3587,FACULDADE DIOCESANA SÃO JOSÉ (FADISI),FADISI,Rio Branco,AC,Faculdade,Privada,www.fadisi.com.br
15507,"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",IFAC,Rio Branco,AC,"Instituto Federal de Educação, Ciência e Tecnologia",Publica,www.ifac.edu.br
24547,ITPAC CRUZEIRO DO SUL (ITPAC - CZ),ITPAC - CZ,Cruzeiro do Sul,AC,Faculdade,Privada,https://cruzeirodosul.itpac.br
3675,Sinal Faculdade de Ciências Humanas e Sociais (SINAL),SINAL,Rio Branco,AC,Faculdade,Privada,www.sinalfaculdade.com.br
18650,UNAMA FACULDADE DA AMAZÔNIA DE RIO BRANCO (FMN RIO BRANCO),FMN RIO BRANCO,Rio Branco,AC,Faculdade,Privada,www.mauriciodenassau.edu.br
549,UNIVERSIDADE FEDERAL DO ACRE (UFAC),UFAC,Rio Branco,AC,Universidade,Publica,http://www.ufac.br
25624,CEDDU - CENTRO DE ENSINO SUPERIOR (CEDDU),CEDDU,Cacimbinhas,AL,Faculdade,Privada,www.ceddu.com.br
621,CENTRO UNIVERSITÁRIO CESMAC (CESMAC),CESMAC,Maceió,AL,Centro Universitário,Privada,www.cesmac.com.br
1965,Centro Universitário Mario Pontes Jucá (UMJ),UMJ,Maceió,AL,Centro Universitário,Privada,www.umj.edu.br
1504,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ (UNINASSAUMACEI?),UNINASSAUMACEI?,Maceió,AL,Centro Universitário,Privada,www.uninassau.edu.br
20494,Faculdade Autônoma do Brasil - Maceió (FBR Maceió),FBR Maceió,Maceió,AL,Faculdade,Privada,www.nossafaculdade.com.br
17226,Faculdade Cesmac do Agreste (CESMAC Agreste),CESMAC Agreste,Arapiraca,AL,Faculdade,Privada,www.cesmac.com.br
17224,Faculdade Cesmac do Sertão (CESMAC Sertão),CESMAC Sertão,Palmeira dos Índios,AL,Faculdade,Privada,www.cesmac.edu.br
1051,FACULDADE DA SEUNE (SEUNE),SEUNE,Maceió,AL,Faculdade,Privada,www.seune.edu.br
13944,FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS (FAN),FAN,Maceió,AL,Faculdade,Privada,www.fan-edu.com.br
20099,"Faculdade de Direito, Ciências e Tecnologia Santa Maria Mada (FADICT)",FADICT,Maceió,AL,Faculdade,Privada,www.fadict.edu.br
4714,Faculdade de Ensino Regional Alternativa (FERA),FERA,Arapiraca,AL,Faculdade,Privada,www.fera-al.com.br
19951,FACULDADE DE GESTAO E NEGOCIOS DE MACEIO (FGN MACEIO),FGN MACEIO,Maceió,AL,Faculdade,Privada,www.fgn.edu.br
1637,FACULDADE DELMIRO GOUVEIA (FDG),FDG,Maceió,AL,Faculdade,Privada,https://www.famaalagoas.edu.br/
1298,Faculdade Estácio de Alagoas - Estácio FAL (ESTÁCIO FAL),ESTÁCIO FAL,Maceió,AL,Faculdade,Privada,www.estacio.br
2042,FACULDADE FIGUEIREDO COSTA - FIC,-,Maceió,AL,Faculdade,Privada,www.ficunifal.edu.br
14429,FACULDADE PITÁGORAS DE MACEIÓ,-,Maceió,AL,Faculdade,Privada,www.faculdadepitagoras.com.br/maceio
5228,FACULDADE RAIMUNDO MARINHO (FRM),FRM,Maceió,AL,Faculdade,Privada,www.frm.edu.br
2156,FACULDADE SÃO TOMÁS DE AQUINO (FACESTA),FACESTA,Palmeira dos Índios,AL,Faculdade,Privada,www.facesta.com.br
2642,FACULDADE SÃO VICENTE (FASVIPA),FASVIPA,Pão de Açúcar,AL,Faculdade,Privada,www.fasvipa.com.br
18648,Faculdade Uninassau Arapiraca,-,Arapiraca,AL,Faculdade,Privada,www.mauriciodenassau.edu.br
1956,FACULDADE UNIRB - ALAGOAS (F. UNIRB),F. UNIRB,Maceió,AL,Faculdade,Privada,www.unirb.edu.br
3182,Faculdade UNIRB - ARAPIRACA (F. UNIRB),F. UNIRB,Arapiraca,AL,Faculdade,Privada,www.unirb.edu.br
22420,FACULDADE UNIRB - MACEIO (Faculdade Unirb),Faculdade Unirb,Maceió,AL,Faculdade,Privada,www.unirb.edu.br
3004,INSTITUTO DE ENSINO SUPERIOR SANTA CECÍLIA (IESC),IESC,Arapiraca,AL,Faculdade,Privada,www.isesc.edu.br
3160,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS (IFAL)",IFAL,Maceió,AL,"Instituto Federal de Educação, Ciência e Tecnologia",Publica,www.ifal.edu.br
5242,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL (UNEAL),UNEAL,Arapiraca,AL,Universidade,Publica,www.uneal.edu.br
