code_ies,name_ies,initials,county,state,academic_organization,category,url
2613,Centro Universitário Estácio Meta de Rio Branco Estácio (UNIMETA),UNIMETA,Rio Branco,AC,Centro Universitário,Privada,www.fameta.edu.br
2132,CENTRO UNIVERSITÁRIO UNINORTE,-,Rio Branco,AC,Centro Universitário,Privada,www.uninorteac.com.br
2343,Centro Universitário U:VERSE,-,Rio Branco,AC,Centro Universitário,Privada,www.uverse.com.vc
2072,FACULDADE DE DESENVOLVIMENTO SUSTENTÁVEL DE CRUZEIRO DO SUL (IEVAL),IEVAL,Cruzeiro do Sul,AC,Faculdade,Privada,http://reges.com.br/ieval/
4836,FACULDADE DE EDUCAÇÃO ACRIANA EUCLIDES DA CUNHA (INEC),INEC,Rio Branco,AC,Faculdade,Privada,www.euclidesdacunha.edu.br
3587,FACULDADE DIOCESANA SÃO JOSÉ (FADISI),FADISI,Rio Branco,AC,Faculdade,Privada,www.fadisi.com.br
15507,"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",IFAC,Rio Branco,AC,"Instituto Federal de Educação, Ciência e Tecnologia",Publica,www.ifac.edu.br
24547,ITPAC CRUZEIRO DO SUL (ITPAC - CZ),ITPAC - CZ,Cruzeiro do Sul,AC,Faculdade,Privada,https://cruzeirodosul.itpac.br
3675,Sinal Faculdade de Ciências Humanas e Sociais (SINAL),SINAL,Rio Branco,AC,Faculdade,Privada,www.sinalfaculdade.com.br
18650,UNAMA FACULDADE DA AMAZÔNIA DE RIO BRANCO (FMN RIO BRANCO),FMN RIO BRANCO,Rio Branco,AC,Faculdade,Privada,www.mauriciodenassau.edu.br
549,UNIVERSIDADE FEDERAL DO ACRE (UFAC),UFAC,Rio Branco,AC,Universidade,Publica,http://www.ufac.br
25624,CEDDU - CENTRO DE ENSINO SUPERIOR (CEDDU),CEDDU,Cacimbinhas,AL,Faculdade,Privada,www.ceddu.com.br
621,CENTRO UNIVERSITÁRIO CESMAC (CESMAC),CESMAC,Maceió,AL,Centro Universitário,Privada,www.cesmac.com.br
1965,Centro Universitário Mario Pontes Jucá (UMJ),UMJ,Maceió,AL,Centro Universitário,Privada,www.umj.edu.br
1504,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ (UNINASSAUMACEI?),UNINASSAUMACEI?,Maceió,AL,Centro Universitário,Privada,www.uninassau.edu.br
20494,Faculdade Autônoma do Brasil - Maceió (FBR Maceió),FBR Maceió,Maceió,AL,Faculdade,Privada,www.nossafaculdade.com.br
17226,Faculdade Cesmac do Agreste (CESMAC Agreste),CESMAC Agreste,Arapiraca,AL,Faculdade,Privada,www.cesmac.com.br
17224,Faculdade Cesmac do Sertão (CESMAC Sertão),CESMAC Sertão,Palmeira dos Índios,AL,Faculdade,Privada,www.cesmac.edu.br
1051,FACULDADE DA SEUNE (SEUNE),SEUNE,Maceió,AL,Faculdade,Privada,www.seune.edu.br
